type,epsilon,TPR@3,FNR@3,TPR@4,FNR@4,TPR@5,FNR@5
replaced,0.1,0.920,0.080,0.880,0.120,0.760,0.240
replaced,0.3,0.660,0.340,0.400,0.600,0.220,0.780
replaced,0.5,0.480,0.520,0.240,0.760,0.120,0.880
inserted,0.1,0.960,0.040,0.880,0.120,0.840,0.160
inserted,0.3,0.820,0.180,0.500,0.500,0.240,0.760
inserted,0.5,0.500,0.500,0.280,0.720,0.120,0.880
deleted,0.1,0.840,0.160,0.700,0.300,0.460,0.540
deleted,0.3,0.460,0.540,0.300,0.700,0.120,0.880
deleted,0.5,0.460,0.540,0.300,0.700,0.120,0.880
