attack_type,epsilon,baseline,improved
replaced,0.1,3.06%,1.02%
replaced,0.3,0.00%,3.06%
replaced,0.5,0.00%,1.02%
inserted,0.1,3.06%,0.00%
inserted,0.3,0.00%,0.00%
inserted,0.5,4.08%,1.02%
deleted,0.1,8.16%,21.43%
deleted,0.3,8.16%,33.67%
deleted,0.5,8.16%,34.69%
