seeding type,z-score mean,z-score std,green fraction mean,TPR@3,FNR@3,TPR@4,FNR@4,TPR@5,FNR@5
g+p+a,9.59,2.27,0.55,0.99,0.01,0.96,0.04,0.94,0.06
p_tuned,9.46,2.14,0.55,0.99,0.01,0.98,0.02,0.94,0.06
