type,epsilon,TPR@3,FNR@3,TPR@4,FNR@4,TPR@5,FNR@5
replaced,0.1,0.898,0.102,0.796,0.204,0.653,0.347
replaced,0.3,0.510,0.490,0.245,0.755,0.061,0.939
replaced,0.5,0.163,0.837,0.051,0.949,0.000,1.000
inserted,0.1,0.918,0.082,0.878,0.122,0.724,0.276
inserted,0.3,0.520,0.480,0.184,0.816,0.061,0.939
inserted,0.5,0.224,0.776,0.071,0.929,0.010,0.990
deleted,0.1,0.541,0.459,0.276,0.724,0.041,0.959
deleted,0.3,0.133,0.867,0.031,0.969,0.020,0.980
deleted,0.5,0.133,0.867,0.031,0.969,0.020,0.980
